BaseYear,Year,Month,State,Sector,Group,SubGroup,Index,Inflation (%)
2012,2025,February,Bihar,Combined,Food and Beverages,Egg,181.9,1.28
2012,2025,February,Bihar,Combined,Food and Beverages,Fruits,188.9,11.31
2012,2025,February,Bihar,Combined,Food and Beverages,Vegetables,175.7,6.48
2012,2025,February,Bihar,Combined,Food and Beverages,Pulses and Products,192.5,4.45
2012,2025,February,Bihar,Combined,Food and Beverages,Spices,216.5,-4.25
2012,2025,February,Bihar,Combined,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",192.9,1.26
2012,2025,February,Bihar,Combined,Food and Beverages,Non-alcoholic Beverages,189.6,2.49
2012,2025,February,Bihar,Combined,Food and Beverages,*,190.5,5.95
2012,2025,February,Bihar,Combined,"Pan, Tobacco and Intoxicants",*,197.8,-1.15
2012,2025,February,Bihar,Combined,Clothing and Footwear,Clothing,193.5,2.82
2012,2025,February,Bihar,Combined,Clothing and Footwear,Footwear,176.6,0.46
2012,2025,February,Bihar,Combined,Clothing and Footwear,*,191.5,2.52
2012,2025,February,Bihar,Combined,Fuel and Light,*,169.9,-1.85
2012,2025,February,Bihar,Combined,Miscellaneous,Household Goods and Services,185.1,2.72
2012,2025,February,Bihar,Combined,Miscellaneous,Health,207,4.65
2012,2025,February,Bihar,Combined,Miscellaneous,Transport and Communication,176,3.65
2012,2025,February,Bihar,Combined,Miscellaneous,Education,185.4,2.66
2012,2025,February,Bihar,Combined,Miscellaneous,*,190.9,3.92
2012,2025,February,Bihar,Rural,Food and Beverages,Cereals and Products,195.5,8.01
2012,2025,February,Bihar,Rural,Food and Beverages,Meat and Fish,209.3,7.89
2012,2025,February,Bihar,Rural,Food and Beverages,Egg,179.9,1.24
2012,2025,February,Bihar,Rural,Food and Beverages,Fruits,189.7,11.59
2012,2025,February,Bihar,Rural,Food and Beverages,Vegetables,170.6,7.09
2012,2025,February,Bihar,Rural,Food and Beverages,Pulses and Products,191.9,4.41
2012,2025,February,Bihar,Rural,Food and Beverages,Spices,215.4,-4.52
2012,2025,February,Bihar,Rural,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",191.6,0.52
2012,2025,February,Bihar,Rural,Food and Beverages,Non-alcoholic Beverages,191.5,2.08
2012,2025,February,Bihar,Rural,Food and Beverages,*,188.8,5.95
2012,2025,February,Bihar,Rural,"Pan, Tobacco and Intoxicants",*,196.3,-1.65
2012,2025,February,Bihar,Rural,Clothing and Footwear,Clothing,193.3,2.6
2012,2025,February,Bihar,Rural,Clothing and Footwear,Footwear,174.3,-0.4
2012,2025,February,Bihar,Rural,Clothing and Footwear,*,191.1,2.25
2012,2025,February,Bihar,Rural,Fuel and Light,*,165.7,-1.37
2012,2025,February,Bihar,Rural,Miscellaneous,Household Goods and Services,187.9,2.34
2012,2025,February,Bihar,Rural,Miscellaneous,Health,208.2,4.52
2012,2025,February,Bihar,Rural,Miscellaneous,Transport and Communication,177.3,3.5
2012,2025,February,Bihar,Rural,Miscellaneous,Education,183.2,2.06
2012,2025,February,Bihar,Rural,Miscellaneous,*,191.9,3.62
2012,2025,February,Bihar,Urban,Food and Beverages,Cereals and Products,213.3,7.73
2012,2025,February,Bihar,Urban,Food and Beverages,Meat and Fish,227.3,4.27
2012,2025,February,Bihar,Urban,Food and Beverages,Egg,196.5,1.55
2012,2025,February,Bihar,Urban,Food and Beverages,Fruits,184.6,10.01
2012,2025,February,Bihar,Urban,Food and Beverages,Vegetables,219.6,2.71
2012,2025,February,Bihar,Urban,Food and Beverages,Pulses and Products,196.8,4.51
2012,2025,February,Bihar,Urban,Food and Beverages,Spices,226.3,-1.65
2012,2025,February,Bihar,Urban,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",203.3,7.06
2012,2025,February,Bihar,Urban,Food and Beverages,Non-alcoholic Beverages,177.1,5.67
2012,2025,February,Bihar,Urban,Food and Beverages,*,204.8,6
2012,2025,February,Bihar,Urban,"Pan, Tobacco and Intoxicants",*,216,4.65
2012,2025,February,Bihar,Urban,Clothing and Footwear,Clothing,195.1,4.44
2012,2025,February,Bihar,Urban,Clothing and Footwear,Footwear,190.8,5.76
2012,2025,February,Bihar,Urban,Clothing and Footwear,*,194.5,4.63
2012,2025,February,Bihar,Urban,Fuel and Light,*,199,-4.56
2012,2025,February,Bihar,Urban,Miscellaneous,Household Goods and Services,165.7,5.81
2012,2025,February,Bihar,Urban,Miscellaneous,Health,199.7,5.44
2012,2025,February,Bihar,Urban,Miscellaneous,Transport and Communication,170.3,4.41
2012,2025,February,Bihar,Urban,Miscellaneous,Education,191.7,4.35
2012,2025,February,Bihar,Urban,Miscellaneous,*,186.1,5.74
2012,2025,February,Chandigarh,Combined,Food and Beverages,*,190.6,3.64
2012,2025,February,Chandigarh,Combined,"Pan, Tobacco and Intoxicants",*,223.1,2.06
2012,2025,February,Chandigarh,Combined,Clothing and Footwear,*,187.2,3.77
2012,2025,February,Chandigarh,Combined,Fuel and Light,*,132.3,-5.16
2012,2025,February,Chandigarh,Combined,Miscellaneous,*,177.9,4.22
2012,2025,February,Chandigarh,Rural,Food and Beverages,*,194.4,6.7
2012,2025,February,Chandigarh,Rural,"Pan, Tobacco and Intoxicants",*,221.9,8.24
2012,2025,February,Chandigarh,Rural,Clothing and Footwear,*,201.9,6.38
2012,2025,February,Chandigarh,Rural,Fuel and Light,*,138.8,-5.32
2012,2025,February,Chandigarh,Rural,Miscellaneous,*,193.8,3.86
2012,2025,February,Chandigarh,Urban,Food and Beverages,*,190.3,3.42
2012,2025,February,Chandigarh,Urban,"Pan, Tobacco and Intoxicants",*,223.3,1.13
2012,2025,February,Chandigarh,Urban,Clothing and Footwear,*,186,3.56
2012,2025,February,Chandigarh,Urban,Fuel and Light,*,131.6,-5.12
2012,2025,February,Chandigarh,Urban,Miscellaneous,*,176.9,4.24
2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Cereals and Products,167.1,9.72
2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Meat and Fish,207.6,8.01
2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Egg,189.2,2.16
2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Fruits,196.1,10.11
