,BaseYear,Year,Month,State,Sector,Group,SubGroup,Index,Inflation (%)
271,2012,2025,February,Chandigarh,Combined,"Pan, Tobacco and Intoxicants",Residual,223.1,2.06
272,2012,2025,February,Chandigarh,Combined,Clothing and Footwear,Residual,187.2,3.77
273,2012,2025,February,Chandigarh,Combined,Fuel and Light,Residual,132.3,-5.16
274,2012,2025,February,Chandigarh,Combined,Miscellaneous,Residual,177.9,4.22
275,2012,2025,February,Chandigarh,Rural,Food and Beverages,Residual,194.4,6.7
276,2012,2025,February,Chandigarh,Rural,"Pan, Tobacco and Intoxicants",Residual,221.9,8.24
277,2012,2025,February,Chandigarh,Rural,Clothing and Footwear,Residual,201.9,6.38
278,2012,2025,February,Chandigarh,Rural,Fuel and Light,Residual,138.8,-5.32
279,2012,2025,February,Chandigarh,Rural,Miscellaneous,Residual,193.8,3.86
280,2012,2025,February,Chandigarh,Urban,Food and Beverages,Residual,190.3,3.42
281,2012,2025,February,Chandigarh,Urban,"Pan, Tobacco and Intoxicants",Residual,223.3,1.13
282,2012,2025,February,Chandigarh,Urban,Clothing and Footwear,Residual,186,3.56
283,2012,2025,February,Chandigarh,Urban,Fuel and Light,Residual,131.6,-5.12
284,2012,2025,February,Chandigarh,Urban,Miscellaneous,Residual,176.9,4.24
285,2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Cereals and Products,167.1,9.72
286,2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Meat and Fish,207.6,8.01
287,2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Egg,189.2,2.16
288,2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Fruits,196.1,10.11
289,2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Vegetables,177.9,1.48
290,2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Pulses and Products,219.7,8.82
291,2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Spices,196.9,0.31
292,2012,2025,February,Chhattisgarh,Combined,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",193.7,2.7
293,2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Non-alcoholic Beverages,157.7,2.34
294,2012,2025,February,Chhattisgarh,Combined,Food and Beverages,Residual,182.7,6.22
295,2012,2025,February,Chhattisgarh,Combined,"Pan, Tobacco and Intoxicants",Residual,214.9,6.44
296,2012,2025,February,Chhattisgarh,Combined,Clothing and Footwear,Clothing,198.5,3.6
297,2012,2025,February,Chhattisgarh,Combined,Clothing and Footwear,Footwear,189.2,5.11
298,2012,2025,February,Chhattisgarh,Combined,Clothing and Footwear,Residual,197.4,3.84
299,2012,2025,February,Chhattisgarh,Combined,Fuel and Light,Residual,220.3,2.47
300,2012,2025,February,Chhattisgarh,Combined,Miscellaneous,Household Goods and Services,179.9,3.75
301,2012,2025,February,Chhattisgarh,Combined,Miscellaneous,Health,191.4,3.35
302,2012,2025,February,Chhattisgarh,Combined,Miscellaneous,Transport and Communication,159.1,2.58
303,2012,2025,February,Chhattisgarh,Combined,Miscellaneous,Education,166.6,4.19
304,2012,2025,February,Chhattisgarh,Combined,Miscellaneous,Residual,175.4,4.59
305,2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Cereals and Products,164.5,10.77
306,2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Meat and Fish,204.4,9.89
307,2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Egg,188.1,1.84
308,2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Fruits,204.9,11.97
309,2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Vegetables,167,2.08
310,2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Pulses and Products,216.9,10.16
311,2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Spices,192.5,0.05
312,2012,2025,February,Chhattisgarh,Rural,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",190.8,1.98
313,2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Non-alcoholic Beverages,157.9,2.07
314,2012,2025,February,Chhattisgarh,Rural,Food and Beverages,Residual,179.1,6.99
